folder,dialogueID,date,from,to,text
3,121548.tsv,2008-10-15T08:01:00.000Z,izinucs,dft,"you might try k3b as the burning software . .. I never really liked brassero"
3,288956.tsv,2005-10-26T09:04:00.000Z,hooligan,,"Where does synoptic install the programs to? Like it aint on desktop"
3,288956.tsv,2005-10-26T09:05:00.000Z,hooligan,,"nvm"
3,288956.tsv,2005-10-26T09:06:00.000Z,theblue,hooligan,"Synaptic installs the programs to wherever they need to be installed.  Most of them can be found in the Gnome menu, and if not there, in the Debian submenu.  All applications on your system that are recognized by Synaptic are in your Debian submenu."
3,69066.tsv,2009-12-23T00:10:00.000Z,thevishy,,"are there any utils that will do a repair of your laptop once in a while ?"
3,69066.tsv,2009-12-23T00:10:00.000Z,thevishy,,"like you have advaned system optimizer in windows sort of stuff"
3,69066.tsv,2009-12-23T00:10:00.000Z,kuttans,thevishy,"repair in the sense? clean up of unused files ?"
3,82138.tsv,2009-02-10T16:37:00.000Z,adante,,"hi folks, i'm making a backup of my root partition just incase this gparted livecd resize goes wrong - at the moment i am just cp -Rp /bin /etc /lib /sbin /usr /boot /home /opt /srv /var /vmlinuz /media /opt /root  -- is there anything else i should be doing?"
3,82138.tsv,2009-02-10T16:39:00.000Z,cdburgess,adante,"use tar"
3,82138.tsv,2009-02-10T16:41:00.000Z,cdburgess,adante,"try g4l"
3,16039.tsv,2011-06-23T21:40:00.000Z,Faustus2,,"is there a way to tell ubuntu not to show icon for a specific external hdd on the desktop? (but i want others to show up on the desktop)"
3,16039.tsv,2011-06-23T21:40:00.000Z,RedRobot,Faustus2,"can use a udev rule for it"
3,16039.tsv,2011-06-23T21:43:00.000Z,Faustus2,RedRobot,"thanks :)"
3,139001.tsv,2009-11-30T22:25:00.000Z,aeon-ltd,,"parsi: chmod 777"
3,139001.tsv,2009-11-30T22:25:00.000Z,aeon-ltd,,"parsi: to the file"
3,139001.tsv,2009-11-30T22:25:00.000Z,Parsi,aeon-ltd,"^^^"
3,74516.tsv,2009-04-04T02:19:00.000Z,SectionOne,,"Is there a second cd needed for the 9.04 beta server install? I keep reaching about 77% completed and then it asks for 'Ubuntu-Server 9.04 _Jaunty Jackalope_ Beta i386 (20090324.2)'"
3,74516.tsv,2009-04-04T02:20:00.000Z,oCean_,SectionOne,"since jaunty is still beta, all issues/discussions go in #ubuntu+1 channel, please"
3,74516.tsv,2009-04-04T02:20:00.000Z,SectionOne,oCean_,"thnx"
3,223998.tsv,2006-06-15T12:31:00.000Z,harry,,"can someone giv me a link in ubuntu wiki to install sun java"
3,223998.tsv,2006-06-15T12:31:00.000Z,someRandomGuy,harry,"java.com"
3,223998.tsv,2006-06-15T12:32:00.000Z,harry,someRandomGuy,"i mean running the command in terminal to get sun java. there are 2 kinds the black and the sun"
3,127690.tsv,2011-08-09T06:17:00.000Z,Matryx,,"hi, can someone help me install a dual boot for windows 7 and ubuntu. I've installed Win7 and I've installed ubuntu and made a /boot, /home, /root, and swap partitions. The /boot is a primary partition and the rest is logical. I set the device boot loader to /boot and when I restart I get a error grub rescue message"
3,127690.tsv,2011-08-09T06:18:00.000Z,Matryx,,"am i supposed to set the device boot loader to /dev/sda or sda3? where the /boot partition is"
3,127690.tsv,2011-08-09T06:19:00.000Z,rww,Matryx,"/dev/sda, as a general rule"
3,195638.tsv,2007-04-09T12:21:00.000Z,whiskyhotel,,"idleone, i went through the set up and entered all infomation include horiz and vert sync rates but when i go to the screen resolution setting i still dont see any new options, do i have to restart before they take effect?"
3,195638.tsv,2007-04-09T12:23:00.000Z,whiskyhotel,,"idleone, maybe i didn't use the right depth it gave me the option of 16 and 24 i selected 16, should i try 24?"
3,195638.tsv,2007-04-09T12:23:00.000Z,klock,whiskyhotel,"linux systems can be fully updated without a restart, even the kernel"
3,71195.tsv,2010-08-27T11:29:00.000Z,mjwalker,," itsux2bu i use Deskyop version"
3,71195.tsv,2010-08-27T11:29:00.000Z,mjwalker,,"shall i use Server one"
3,71195.tsv,2010-08-27T11:31:00.000Z,KB1JWQ,mjwalker,"Yes.  Postfix + Dovecot tend to make a decent email stack."
3,301153.tsv,2005-09-27T05:48:00.000Z,enntee,,"Can anyone recommend an NFS alternative that works transparently?"
3,301153.tsv,2005-09-27T05:49:00.000Z,nalioth,enntee,"once you get NFS set up, it IS transparent"
3,301153.tsv,2005-09-27T05:49:00.000Z,enntee,nalioth,"yeah, i know. but it's a PITA trying to keep my uid/gid's in sync"
3,336607.tsv,2004-10-25T06:49:00.000Z,kremlyn,,"http://www.newsforge.com/article.pl?sid=04/10/12/1421241"
3,336607.tsv,2004-10-25T06:49:00.000Z,kremlyn,,"Article on Ubuntu."
3,336607.tsv,2004-10-25T06:50:00.000Z,joolz,kremlyn,"sloooow"
3,257535.tsv,2010-03-17T04:36:00.000Z,hardbop200,,"hi all - I'm trying to find ttf-bitstream-vera for karmic, but it's not there, and my google-fu is failing me. can someone point me to some hints?"
3,257535.tsv,2010-03-17T04:37:00.000Z,erUSUL,hardbop200,"they've been replaced by DejaVu fonts"
3,257535.tsv,2010-03-17T04:37:00.000Z,hardbop200,erUSUL,"cool! thank you."
3,81948.tsv,2009-04-23T12:15:00.000Z,sriramoman,,"what time will jaunty-ubuntu mostly be released"
3,81948.tsv,2009-04-23T12:15:00.000Z,g4lt-lappy,sriramoman,"^^^^^"
3,81948.tsv,2009-04-23T12:16:00.000Z,sriramoman,g4lt-lappy,"it doesnt state the time..."
3,37144.tsv,2010-06-06T08:05:00.000Z,FlameTai1,,"Question guys, I know it's probably in the manual some where but I'm too lazy to look, where abouts is the setting to make the icons on the desktop smaller?"
3,37144.tsv,2010-06-06T08:06:00.000Z,bastid_raZor,FlameTai1,"can't you alt + middle click and resize them?"
3,37144.tsv,2010-06-06T08:06:00.000Z,FlameTai1,bastid_raZor,"That doesn't work for me"
3,90139.tsv,2009-06-25T22:05:00.000Z,RkyRaccoon,,"can someone help me print from a wireless printer using 9.04?"
3,90139.tsv,2009-06-25T22:05:00.000Z,mezquitale,RkyRaccoon,"is the wireless printer already set up?? Does it have an ip and can you ping it?"
3,90139.tsv,2009-06-25T22:06:00.000Z,RkyRaccoon,mezquitale,"its my dads, ive never used it before.  IT works for him so i think its all set up"
3,27998.tsv,2010-11-01T03:56:00.000Z,CaneToad,,"when I upgraded from 10.04 to 10.10, the upgrade process put the UUID of the wrong partition in /boot/grub/menu.lst ... which package should I report a bug against?"
3,27998.tsv,2010-11-01T03:57:00.000Z,Devilz_108,CaneToad,"Against the upgrade tool"
3,27998.tsv,2010-11-01T03:58:00.000Z,CaneToad,Devilz_108,"thanks"
3,207491.tsv,2007-02-04T09:42:00.000Z,ciro,,"how can I install mercury messanger on ubuntu?"
3,207491.tsv,2007-02-04T09:43:00.000Z,silvertip257,ciro," you need to follow the directions:  it's tricky, but you can"
3,207491.tsv,2007-02-04T09:43:00.000Z,silvertip257,ciro," if i remember right you need to do some sneaky stuff to enable the sys tray"
3,34410.tsv,2010-08-11T04:58:00.000Z,EDinNY,,"hints on how  to get Nvidia driver to work?"
3,34410.tsv,2010-08-11T04:59:00.000Z,ilovefairuz,EDinNY,"https://help.ubuntu.com/community/BinaryDriverHowto/Nvidia"
3,34410.tsv,2010-08-11T04:59:00.000Z,EDinNY,ilovefairuz,"thanks"
3,132834.tsv,2008-03-16T07:35:00.000Z,myusername,,"whats the best gnome irc?"
3,132834.tsv,2008-03-16T07:35:00.000Z,Starnestommy,myusername,"xchat or xchat-gnome"
3,132834.tsv,2008-03-16T07:39:00.000Z,Starnestommy,myusername,"which slash bar?"
3,230515.tsv,2007-08-31T15:49:00.000Z,Fub,,"I'm having problems setting up samba. It seems to work,"
3,230515.tsv,2007-08-31T15:50:00.000Z,Fub,,"I can share folders but the shared folders can't be written to over the net"
3,230515.tsv,2007-08-31T15:50:00.000Z,Pelo,Fub," there is also a #samba channel if you need more then this channel can provide"
3,143795.tsv,2008-05-09T07:54:00.000Z,Goldenson,,"i just have a problem with my laptop it does not want to find the network in 8.04 or connect to it i have a broadcom wireless card"
3,143795.tsv,2008-05-09T07:54:00.000Z,LSD|Ninja,Goldenson,"you need ndiswrapper"
3,143795.tsv,2008-05-09T07:55:00.000Z,LSD|Ninja,Goldenson,"Take at look at: http://ubuntuforums.org/showthread.php?p=1071920&mode=linear or http://ubuntuforums.org/showthread.php?t=25683 they might help"
